,source_text,question,item,human_answer,roberta-base-squad2,tinyroberta-squad2,minilm-squad2
0,"Introducing the new Plumanoix athletic shirt - the perfect addition to your workout wardrobe! This high-quality shirt is made from a blend of moisture-wicking and breathable materials that will keep you cool and comfortable during even the most intense workouts. The sleek design features a slim fit with a crew neckline and short sleeves, allowing for a full range of motion. The Plumanoix logo is featured prominently on the front and back of the shirt, adding a stylish touch. Available in a variety of vibrant colors and sizes, the Plumanoix athletic shirt is sure to become your go-to choice for any type of exercise. Order yours today and elevate your workout game!",What type of fabric is the Plumanoix athletic shirt made of?,shirt,moisture-wicking breathable fabric,moisture-wicking and breathable,moisture-wicking and breathable materials,moisture-wicking and breathable
1,"Introducing the latest addition to the Clothimus Universum athletic collection - the Athletic Shirt 2.0! Made from high-quality, moisture-wicking fabric, this shirt is designed to keep athletes cool and dry during even the toughest workouts. The fabric is also stretchy, allowing for maximum flexibility and range of motion.

The Athletic Shirt 2.0 features a sleek, modern design, with a fitted cut that flatters any body type. The shirt comes in a variety of colors and styles, so athletes can choose the perfect look to suit their individual tastes.

Whether you're hitting the gym, going for a run, or playing your favorite sport, the Athletic Shirt 2.0 from Clothimus Universum is the perfect choice to help you perform at your best. Order yours today and experience the ultimate in athletic comfort and style!",What is the fabric of the Athletic Shirt 2.0 from Clothimus Universum?,shirt,high quality moisture-wicking stretchy fabric,"high-quality, moisture-wicking","high-quality, moisture-wicking fabric",moisture-wicking
2,"Introducing the latest addition to the Shimmer Threads athletic collection: the Shimmer Threads Athletic Shirt. Made from a high-performance blend of moisture-wicking fabric, this shirt is designed with the active individual in mind. The fabric is lightweight, breathable, and quick-drying, ensuring you stay comfortable and dry during even the most intense workouts.

The shirt features a sleek, athletic cut that is both flattering and functional, allowing for ease of movement and flexibility during your workout. The crewneck style is versatile and timeless, making it perfect for a range of athletic activities, from running to weightlifting to yoga.

The Shimmer Threads Athletic Shirt is available in a range of colors, ensuring that you can find the perfect fit for your personal style. The shirt is also machine washable, making it easy to care for and maintain.

Whether you're a seasoned athlete or just starting out on your fitness journey, the Shimmer Threads Athletic Shirt is an essential addition to your workout wardrobe. With its high-quality construction and functional design, this shirt is sure to become your go-to choice for all your athletic endeavors.","What is the fabric of the Shimmer Threads Athletic Shirt made of, and what are the benefits of this fabric?",shirt,breathable quick drying moisture wicking machine washable fabric,moisture-wicking fabric,moisture-wicking fabric,moisture-wicking
3,"Introducing the latest addition to the ZorbyX Fashionista line, the Athletic Shirt! Designed with the athlete in mind, this shirt is made from high-quality, breathable materials that wick away sweat and keep you cool during even the most intense workouts. The streamlined design hugs your body for maximum comfort and flexibility, allowing you to move without restriction. The shirt comes in a variety of vibrant colors and features the iconic ZorbyX Fashionista logo on the chest. Whether you're hitting the gym or going for a run, this Athletic Shirt is the perfect addition to your workout wardrobe. Don't settle for anything less than the best - choose ZorbyX Fashionista today!",What is the material used in making the ZorbyX Fashionista Athletic Shirt?,shirt,Breathable material,"high-quality, breathable materials","high-quality, breathable materials",breathable materials that wick away sweat
4,"Introducing the latest addition to Zephyr Threads' collection of casual wear - the Zephyr Threads Shirt! This stylish and comfortable shirt is perfect for the modern fashion-forward individual who wants to look and feel good. 

Made from high-quality cotton, the shirt is soft, breathable and comfortable to wear all day long. The shirt features a classic design with a simple button-front closure and a single chest pocket. The shirt is available in a range of different colors and sizes to suit any taste or preference.

Whether you're heading to casual brunch with friends or enjoying a day out in the city, the Zephyr Threads Shirt is the perfect choice. It can be paired with jeans, shorts, or chinos for a complete casual look. 

Zephyr Threads is committed to providing high-quality garments that are both stylish and sustainable. The Zephyr Threads Shirt is made from sustainable materials and is manufactured using ethical and fair labor practices. 

Invest in this versatile and trendy Zephyr Threads Shirt today and make a statement wherever you go!",What kind of materials is the Zephyr Threads Shirt made from?,shirt,soft cotton,sustainable,sustainable,high-quality cotton
5,"Introducing Plumanoix's newest addition to their athletic line: the Performance Pants. These pants are designed to provide maximum comfort and mobility during your workout routine. Made from a lightweight and breathable fabric, they offer a superior fit that moves with you, allowing you to focus on your performance.

The Performance Pants come in a sleek and stylish design that fits perfectly into your athletic wardrobe. They are available in a range of sizes and colors to suit your preferences. The pants also feature an adjustable waistband that ensures a comfortable fit for all body types.

These performance pants are equipped with moisture-wicking technology, which draws sweat away from your skin to keep you dry and fresh throughout your workout. They also feature a pocket for storing your essentials such as phone, keys, or wallet.

Whether you're hitting the gym, going for a run, or practicing yoga, the Plumanoix Performance Pants will help you achieve your fitness goals with ease and comfort. Try them out today and experience the difference for yourself!",What feature do the Plumanoix Performance Pants have that helps keep you dry during your workout?,pants,moisture-wicking technology,moisture-wicking technology,moisture-wicking technology,moisture-wicking technology
6,"Introducing the latest addition to the Clothimus Universum athletic line - the Performance Pants. Designed with the modern athlete in mind, these pants offer the perfect combination of style and functionality. Crafted from high-quality, moisture-wicking fabric, these pants are designed to keep you cool and dry during even the most intense workouts.

The Performance Pants feature a slim, tapered fit that is both comfortable and flattering. The elastic waistband and drawstring closure ensure a secure, customized fit that stays in place no matter how hard you train. The pants also feature a zippered pocket on the side, perfect for storing your phone or other small essentials.

Whether you're hitting the gym or going for a run, the Performance Pants are the ideal choice for anyone looking to take their athletic performance to the next level. Available in a range of trendy colors, these pants are the perfect addition to any athlete's wardrobe. Don't miss out on the latest and greatest from Clothimus Universum - get your Performance Pants today!",What type of closure do the Performance Pants feature to ensure a secure and customized fit?,pants,Elastic waistband and drawstring closure,drawstring,drawstring,drawstring
7,"Introducing a new luxury item in the pants category from Shimmer Threads – the Shimmering Satin Pants. Made from the finest quality satin fabric, these pants offer a luxurious look and feel that is sure to make a statement. The shimmering effect of the fabric adds a touch of glamour to any outfit, making these pants perfect for special events or evenings out on the town.

Featuring a high-waist cut and a straight leg fit, these pants are designed to flatter any body type and provide a comfortable fit all day long. The waistband is elasticized, ensuring a snug fit that stays in place without compromising on style. The pants are available in a range of sizes, from small to extra-large, making them suitable for women of all shapes and sizes.

The Shimmering Satin Pants are available in two stunning colors – champagne and rose gold – both of which are sure to turn heads and make a lasting impression. They are easy to style and can be dressed up or down depending on the occasion. Pair them with a simple blouse or crop top for a chic daytime look, or dress them up with a sequin top and heels for a night out.

Overall, the Shimmering Satin Pants by Shimmer Threads are a must-have luxury item for any fashion-forward woman looking to add a touch of glamour to her wardrobe. With their high-quality fabric, flattering fit, and stunning shimmer effect, these pants are sure to become a staple in your closet for years to come.",What are the available colors of the Shimmering Satin Pants from Shimmer Threads?,pants,champagne and rose gold,champagne and rose gold,champagne and rose gold,champagne and rose gold
8,"Introducing the latest addition to the ZorbyX fashionista collection - a luxurious pair of pants designed to elevate your style game to new heights. These pants are crafted from the finest quality materials and feature a sleek and modern design that is perfect for any occasion.

Made with a blend of premium fabrics, these pants are soft to the touch and offer a comfortable fit that you'll love. The stylish cut and flattering silhouette of these pants make them the perfect choice for any fashion-conscious individual looking to make a statement.

The attention to detail in the design of these pants is evident in the intricate stitching and flawless finish. The pants feature a high waistline and a slim fit that accentuates your curves, without being too tight or restrictive.

With its timeless design and luxurious feel, these pants are perfect for dressing up for a night out on the town or dressing down for a casual weekend brunch. So why wait? Add these ZorbyX fashionista pants to your wardrobe today and elevate your style game to new heights.",What materials are these ZorbyX fashionista pants made of?,pants,does not say - only mentions the finest quality materials,finest quality materials,finest quality materials,premium fabrics
9,"Introducing the latest addition to the Zephyr Threads collection - the Casual Pants! Crafted with a luxurious blend of cotton and elastane, these pants are designed to offer maximum comfort and durability. The pants feature a relaxed fit and a tapered leg, making them a versatile option for both casual and semi-casual occasions.

Available in a range of muted colors, the Casual Pants are perfect for pairing with any of your favorite Zephyr Threads tops. The pants feature a classic five-pocket design, adding a touch of sophistication to your everyday look. The waistband is equipped with a sturdy button and zipper closure, ensuring a secure and comfortable fit.

Whether you're running errands or hanging out with friends, the Zephyr Threads Casual Pants are the perfect choice for a comfortable and stylish look. Don't miss out on this must-have addition to your wardrobe!","What is the fabric blend used to make the Zephyr Threads Casual Pants, and what benefits does it offer?",pants,blend of cotton and elastane,cotton and elastane,maximum comfort and durability,cotton and elastane
